,Date,Open,High,Low,Close,Adj Close,Volume,weekday,shift_close
0,11/11/16,36.848,37.776001,36.599998,37.712002,37.712002,19942500,4,
1,11/14/16,37.599998,37.650002,35.638,36.290001,36.290001,32761000,0,37.712002
2,11/15/16,36.556,37.285999,36.41,36.754002,36.754002,19510000,1,36.290001
3,11/16/16,36.529999,36.945999,36.242001,36.785999,36.785999,17172000,2,36.754002
4,11/17/16,36.698002,37.897999,36.422001,37.731998,37.731998,24435500,3,36.785999
5,11/18/16,38.130001,38.599998,37,37.004002,37.004002,26051500,4,37.731998
6,11/21/16,37.007999,37.778,36.882,36.903999,36.903999,21805000,0,37.004002
7,11/22/16,37.167999,38.293999,36.742001,38.234001,38.234001,28017000,1,36.903999
8,11/23/16,38.122002,39.127998,37.799999,38.627998,38.627998,24459500,2,38.234001
9,11/25/16,38.728001,39.448002,38.728001,39.330002,39.330002,11830500,4,38.627998
10,11/28/16,39.096001,39.869999,38.91,39.223999,39.223999,22646000,0,39.330002
11,11/29/16,39.112,39.346001,37.900002,37.914001,37.914001,22196500,1,39.223999
12,11/30/16,38.200001,38.377998,37.5,37.880001,37.880001,17735500,2,37.914001
13,12/1/16,37.650002,37.706001,36.200001,36.375999,36.375999,25632000,3,37.880001
14,12/2/16,36.576,36.976002,36,36.293999,36.293999,20211500,4,36.375999
15,12/5/16,36.501999,37.778,36.501999,37.360001,37.360001,20361000,0,36.293999
16,12/6/16,37.104,37.316002,36.535999,37.169998,37.169998,16958000,1,37.360001
17,12/7/16,37.23,38.68,37,38.630001,38.630001,27309500,2,37.169998
18,12/8/16,38.41,38.5,37.908001,38.458,38.458,15970500,3,38.630001
19,12/9/16,38.174,38.768002,38.161999,38.436001,38.436001,13612500,4,38.458
20,12/12/16,38.560001,38.883999,38.236,38.486,38.486,12194500,0,38.436001
21,12/13/16,38.636002,40.256001,38.599998,39.630001,39.630001,34119500,1,38.486
22,12/14/16,39.748001,40.599998,39.352001,39.737999,39.737999,20754500,2,39.630001
23,12/15/16,39.681999,40.147999,39.478001,39.515999,39.515999,16098000,3,39.737999
24,12/16/16,39.616001,40.518002,39.52,40.498001,40.498001,18984500,4,39.515999
25,12/19/16,40.498001,40.889999,39.967999,40.546001,40.546001,17440500,0,40.498001
26,12/20/16,40.610001,41.799999,40.5,41.757999,41.757999,23445500,1,40.546001
27,12/21/16,41.689999,42.445999,41.481998,41.540001,41.540001,26038000,2,41.757999
28,12/22/16,41.644001,41.998001,41.299999,41.689999,41.689999,15555500,3,41.540001
29,12/23/16,41.599998,42.689999,41.542,42.667999,42.667999,23352500,4,41.689999
30,12/27/16,42.976002,44.450001,42.883999,43.905998,43.905998,29578500,1,42.667999
31,12/28/16,44.306,44.759998,43.439999,43.948002,43.948002,18912500,2,43.905998
32,12/29/16,43.712002,43.84,42.824001,42.936001,42.936001,20225000,3,43.948002
33,12/30/16,43.259998,43.5,42.335999,42.737999,42.737999,23213000,4,42.936001
34,1/3/17,42.972,44.066002,42.192001,43.397999,43.397999,29616500,1,42.737999
35,1/4/17,42.950001,45.599998,42.862,45.397999,45.397999,56067500,2,43.397999
36,1/5/17,45.284,45.495998,44.389999,45.349998,45.349998,29558500,3,45.397999
37,1/6/17,45.386002,46.062,45.09,45.801998,45.801998,27639500,4,45.349998
38,1/9/17,45.793999,46.383999,45.599998,46.256001,46.256001,19897500,0,45.801998
39,1/10/17,46.400002,46.400002,45.377998,45.973999,45.973999,18300000,1,46.256001
40,1/11/17,45.813999,45.995998,45.335999,45.945999,45.945999,18254000,2,45.973999
41,1/12/17,45.812,46.139999,45.116001,45.917999,45.917999,18951000,3,45.945999
42,1/13/17,46,47.57,45.917999,47.549999,47.549999,30465000,4,45.917999
43,1/17/17,47.34,47.992001,46.874001,47.116001,47.116001,23087500,1,47.549999
44,1/18/17,47.330002,47.942001,47.116001,47.672001,47.672001,18845000,2,47.116001
45,1/19/17,49.450001,49.736,48.150002,48.751999,48.751999,38661500,3,47.672001
46,1/20/17,49.091999,49.200001,48.602001,48.945999,48.945999,21021500,4,48.751999
47,1/23/17,49.169998,50.178001,49.099998,49.784,49.784,31314500,0,48.945999
48,1/24/17,50,50.959999,49.93,50.922001,50.922001,24827500,1,49.784
49,1/25/17,51.462002,51.692001,50.360001,50.894001,50.894001,25713000,2,50.922001
50,1/26/17,50.858002,51.147999,50.150002,50.501999,50.501999,15760500,3,50.894001
51,1/27/17,50.276001,50.599998,49.703999,50.59,50.59,15831500,4,50.501999
52,1/30/17,50.506001,51.057999,49.419998,50.125999,50.125999,19005500,0,50.59
53,1/31/17,49.848,51.178001,49.540001,50.386002,50.386002,20580500,1,50.125999
54,2/1/17,50.610001,50.639999,49.810001,49.848,49.848,19794000,2,50.386002
55,2/2/17,49.667999,50.484001,49.542,50.310001,50.310001,12499000,3,49.848
56,2/3/17,50.382,50.436001,49.936001,50.265999,50.265999,10933500,4,50.310001
57,2/6/17,50.200001,51.563999,50.125999,51.554001,51.554001,17812500,0,50.265999
58,2/7/17,51.638,52,51.284,51.495998,51.495998,21224000,1,51.554001
59,2/8/17,51.470001,52.672001,51.240002,52.416,52.416,19665000,2,51.495998
60,2/9/17,53.25,54.236,53.23,53.84,53.84,39101000,3,52.416
61,2/10/17,53.958,54.189999,53.222,53.846001,53.846001,18098500,4,53.84
62,2/13/17,54.147999,56.158001,54.102001,56.119999,56.119999,35148000,0,53.846001
63,2/14/17,55.806,57.478001,55.722,56.195999,56.195999,36726000,1,56.119999
64,2/15/17,56,56.448002,55.287998,55.952,55.952,24739500,2,56.195999
65,2/16/17,55.52,56,53.700001,53.790001,53.790001,35386500,3,55.952
66,2/17/17,53.16,54.577999,52.830002,54.445999,54.445999,31285500,4,53.790001
67,2/21/17,55.09,56.279999,54.801998,55.478001,55.478001,28383500,1,54.445999
68,2/22/17,56.062,56.689999,54.52,54.702,54.702,43775000,2,55.478001
69,2/23/17,52.799999,52.931999,51.112,51.198002,51.198002,74576000,3,54.702
70,2/24/17,50.532001,51.650002,50.040001,51.400002,51.400002,40858000,4,51.198002
71,2/27/17,49.633999,49.672001,48.402,49.245998,49.245998,57304000,0,51.400002
72,2/28/17,48.838001,50.200001,48.779999,49.998001,49.998001,30390500,1,49.245998
73,3/1/17,50.835999,50.970001,49.821999,50.004002,50.004002,24047500,2,49.998001
74,3/2/17,49.942001,50.655998,49.653999,50.096001,50.096001,16759000,3,50.004002
75,3/3/17,50.147999,50.380001,49.799999,50.313999,50.313999,14597000,4,50.096001
76,3/6/17,49.582001,50.34,49.501999,50.242001,50.242001,16777500,0,50.313999
77,3/7/17,50.383999,50.778,49.664001,49.717999,49.717999,17297500,1,50.242001
78,3/8/17,49.400002,50.014,49.063999,49.374001,49.374001,18626000,2,49.717999
79,3/9/17,49.526001,49.731998,48.599998,48.98,48.98,19396500,3,49.374001
80,3/10/17,49.242001,49.299999,48.599998,48.737999,48.737999,15331500,4,48.98
81,3/13/17,48.964001,49.369999,48.556,49.234001,49.234001,15113000,0,48.737999
82,3/14/17,49.222,51.624001,49.203999,51.599998,51.599998,37992000,1,49.234001
83,3/15/17,51.400002,52.200001,50.854,51.146,51.146,26654000,2,51.599998
84,3/16/17,52.48,53.150002,51.812,52.41,52.41,35661000,3,51.146
85,3/17/17,52.799999,53.066002,52.240002,52.299999,52.299999,32487500,4,52.41
86,3/20/17,52.119999,52.91,51.764,52.383999,52.383999,18071500,0,52.299999
87,3/21/17,52.566002,52.959999,50.048,50.136002,50.136002,34543000,1,52.383999
88,3/22/17,50.312,51.014,50.102001,51.001999,51.001999,20296500,2,50.136002
89,3/23/17,51.077999,51.534,50.66,50.956001,50.956001,16601000,3,51.001999
90,3/24/17,51.139999,52.778,51.001999,52.632,52.632,28236500,4,50.956001
91,3/27/17,52.119999,54.113998,51.950001,54.043999,54.043999,31154000,0,52.632
92,3/28/17,55.403999,56.136002,55,55.490002,55.490002,39938000,1,54.043999
93,3/29/17,55.667999,55.919998,55.108002,55.476002,55.476002,18381000,2,55.490002
94,3/30/17,55.608002,56.400002,55.442001,55.584,55.584,20742000,3,55.476002
95,3/31/17,55.745998,55.936001,55.264,55.66,55.66,16473000,4,55.584
96,4/3/17,57.380001,59.799999,56.916,59.703999,59.703999,69443000,0,55.66
97,4/4/17,59.377998,60.962002,58.905998,60.740002,60.740002,50673000,1,59.703999
98,4/5/17,60.408001,60.976002,58.84,59,59,39404500,2,60.740002
99,4/6/17,59.375999,60.388,58.82,59.740002,59.740002,27603000,3,59
100,4/7/17,59.5,60.537998,59.43,60.507999,60.507999,22898000,4,59.740002
101,4/10/17,61.830002,62.745998,61.742001,62.478001,62.478001,38322500,0,60.507999
102,4/11/17,62.675999,62.694,61.099998,61.742001,61.742001,28623000,1,62.478001
103,4/12/17,61.268002,61.689999,59.264,59.368,59.368,30253500,2,61.742001
104,4/13/17,59.34,61.478001,59.060001,60.799999,60.799999,46423000,3,59.368
105,4/17/17,60.540001,60.799999,59.736,60.287998,60.287998,20693500,0,60.799999
106,4/18/17,59.939999,60.167999,59.580002,60.049999,60.049999,15178500,1,60.287998
107,4/19/17,60.492001,61.324001,60.422001,61.104,61.104,19490000,2,60.049999
108,4/20/17,61.301998,61.830002,60.046001,60.501999,60.501999,30747000,3,61.104
109,4/21/17,60.400002,61.279999,60.084,61.119999,61.119999,22549000,4,60.501999
