candle_begin_time,open,high,low,close,volume,signal,pos,equity_change,equity_curve
2017/1/1 0:00,8.0441,8.2639,8.0441,8.1794,515.2726881,,0,0,1
2017/1/1 1:00,8.199,8.2833,8.199,8.2432,936.8958791,,0,0,1
2017/1/1 2:00,8.26,8.4889,8.255,8.4889,1188.102007,,0,0,1
2017/1/1 3:00,8.423,8.5771,8.4091,8.57,8119.70104,,0,0,1
2017/1/1 4:00,8.5868,8.5868,8.44,8.44,305.9971118,,0,0,1
2017/1/1 5:00,8.44,8.44,8.349,8.349,322.567087,,0,0,1
2017/1/1 6:00,8.3181,8.423,8.3181,8.419,128.1529666,,0,0,1
2017/1/1 7:00,8.45,8.4657,8.384,8.3841,560.1587356,,0,0,1
2017/1/1 8:00,8.4137,8.4271,8.342,8.35,211.4519467,,0,0,1
2017/1/1 9:00,8.35,8.3731,8.3346,8.3346,110.0705066,,0,0,1
2017/1/1 10:00,8.3346,8.345,8.03,8.178,12108.34173,,0,0,1
2017/1/1 11:00,8.2381,8.302,8.184,8.242,225.5199407,,0,0,1
2017/1/1 12:00,8.21,8.237,8.21,8.231,177.683305,,0,0,1
2017/1/1 13:00,8.282,8.3149,8.282,8.31,9.56616864,,0,0,1
2017/1/1 14:00,8.315,8.315,8.29,8.29,332.2039467,,0,0,1
2017/1/1 15:00,8.2738,8.532,8.2738,8.4391,5628.048079,,0,0,1
2017/1/1 16:00,8.4377,8.48,8.3311,8.3311,351.3571818,,0,0,1
2017/1/1 17:00,8.3311,8.3311,8.222,8.3131,450.8341482,,0,0,1
2017/1/1 18:00,8.32,8.3607,8.3011,8.3607,303.3320494,,0,0,1
2017/1/1 19:00,8.3318,8.3571,8.3011,8.3036,68.8427021,,0,0,1
2017/1/1 20:00,8.3012,8.3012,8.046,8.13,9326.22467,,0,0,1
2017/1/1 21:00,8.114,8.1397,8.08,8.091,1267.292722,,0,0,1
2017/1/1 22:00,8.1463,8.318,8.0871,8.0871,5784.048248,,0,0,1
2017/1/1 23:00,8.1459,8.2277,8.121,8.196,691.336019,,0,0,1
2017/1/2 0:00,8.22,8.2259,8.1581,8.2169,434.0399322,,0,0,1
2017/1/2 1:00,8.1491,8.1735,8.1221,8.1726,286.947851,,0,0,1
2017/1/2 2:00,8.212,8.2159,8.1555,8.1891,59.04821883,,0,0,1
2017/1/2 3:00,8.187,8.2467,8.125,8.2438,372.6698764,,0,0,1
2017/1/2 4:00,8.1717,8.261,8.1717,8.195,7398.150704,,0,0,1
2017/1/2 5:00,8.2442,8.2524,8.1755,8.1801,654.9381911,,0,0,1
2017/1/2 6:00,8.178,8.225,8.177,8.1891,276.3,,0,0,1
2017/1/2 7:00,8.219,8.274,8.2091,8.2397,1952.175703,,0,0,1
2017/1/2 8:00,8.231,8.2453,8.161,8.195,4346.080791,,0,0,1
2017/1/2 9:00,8.2312,8.242,8.18,8.234,493.1308844,,0,0,1
2017/1/2 10:00,8.2212,8.23,8.179,8.23,212.5118212,,0,0,1
2017/1/2 11:00,8.23,8.2416,8.159,8.159,1201.1918,,0,0,1
2017/1/2 12:00,8.159,8.2349,8.114,8.186,1375.417135,,0,0,1
2017/1/2 13:00,8.1753,8.198,8.114,8.187,1660.967027,,0,0,1
2017/1/2 14:00,8.2404,8.2404,8.166,8.166,295.0962525,,0,0,1
2017/1/2 15:00,8.182,8.3455,8.1691,8.3364,544.8234174,,0,0,1
2017/1/2 16:00,8.306,8.4499,8.2503,8.444,862.1637611,,0,0,1
2017/1/2 17:00,8.477,8.5,8.4191,8.4897,5179.969398,,0,0,1
2017/1/2 18:00,8.4897,8.4897,8.375,8.3851,988.5766427,,0,0,1
2017/1/2 19:00,8.3851,8.401,8.31,8.31,582.5505417,,0,0,1
2017/1/2 20:00,8.3,8.4241,8.3,8.4241,2170.253284,,0,0,1
2017/1/2 21:00,8.4145,8.4145,8.369,8.39,107.8328663,,0,0,1
2017/1/2 22:00,8.38,8.38,8.37,8.371,136.7378032,,0,0,1
2017/1/2 23:00,8.37,8.4292,8.37,8.4292,333.831473,,0,0,1
2017/1/3 0:00,8.37,8.426,8.35,8.351,1329.065978,,0,0,1
2017/1/3 1:00,8.351,8.351,8.3,8.3411,713.552921,,0,0,1
2017/1/3 2:00,8.3411,8.3411,8.3,8.325,269.2567238,,0,0,1
2017/1/3 3:00,8.3,8.3818,8.3,8.3747,218.107373,,0,0,1
2017/1/3 4:00,8.3842,8.3999,8.338,8.338,251.8337364,,0,0,1
2017/1/3 5:00,8.301,8.4184,8.301,8.4065,437.9045397,,0,0,1
2017/1/3 6:00,8.4201,8.43,8.399,8.43,186.7591157,,0,0,1
2017/1/3 7:00,8.43,8.5699,8.43,8.55,2684.855014,,0,0,1
2017/1/3 8:00,8.53,8.5339,8.5,8.5,150.2708054,,0,0,1
2017/1/3 9:00,8.5,8.5169,8.499,8.5041,260.6684836,,0,0,1
2017/1/3 10:00,8.474,8.474,8.474,8.474,24.58447102,,0,0,1
2017/1/3 11:00,8.51,8.55,8.51,8.55,523.3770831,,0,0,1
2017/1/3 12:00,8.562,8.57,8.516,8.5551,520.2810936,,0,0,1
2017/1/3 13:00,8.5116,8.66,8.5116,8.6599,1844.302935,,0,0,1
2017/1/3 14:00,8.6599,8.86,8.65,8.86,11703.19656,,0,0,1
2017/1/3 15:00,8.86,9.48,8.86,9.324,42637.45645,1,0,0,1
2017/1/3 16:00,9.3509,9.4,9.1894,9.292,1839.925477,,1,-0.024896577,0.975103423
2017/1/3 17:00,9.3089,9.5,9.3089,9.5,13850.03198,,1,0.068435351,1.041834968
2017/1/3 18:00,9.478,9.75,9.4599,9.7489,17401.32132,,1,0.076646761,1.121688244
2017/1/3 19:00,9.75,9.9,9.6871,9.888,20441.76929,,1,0.039785315,1.166314964
2017/1/3 20:00,9.851,9.851,9.487,9.52,42034.23139,,1,-0.101227803,1.048251462
2017/1/3 21:00,9.5341,9.744,9.5,9.735,9798.864773,,1,0.065802262,1.11722878
2017/1/3 22:00,9.639,9.7998,9.639,9.7997,10405.18286,,1,0.018579328,1.13798614
2017/1/3 23:00,9.8,9.871,9.661,9.661,10444.71911,,1,-0.039102753,1.09348775
2017/1/4 0:00,9.662,9.799,9.44,9.6281,6367.777958,,1,-0.009652722,1.082932616
2017/1/4 1:00,9.618,9.7783,9.6167,9.712,360.0003901,,1,0.024855836,1.109849811
2017/1/4 2:00,9.7269,10.1,9.7021,10.1,13652.54246,,1,0.112159317,1.234329808
2017/1/4 3:00,10.09,10.498,10.09,10.311,12904.79671,,1,0.054842732,1.302023827
2017/1/4 4:00,10.311,10.6,10.311,10.364,4379.507435,,1,0.013059447,1.319027537
2017/1/4 5:00,10.462,10.48,10.308,10.44,1777.084036,,1,0.018485345,1.343410217
2017/1/4 6:00,10.33,10.433,10.3,10.397,1903.567794,,1,-0.010268988,1.329614754
2017/1/4 7:00,10.4,10.475,10.3,10.33,1768.824812,,1,-0.01616653,1.308119497
2017/1/4 8:00,10.356,10.6,10.356,10.6,8242.834715,,1,0.066219239,1.394742175
2017/1/4 9:00,10.626,10.7,10.561,10.68,7640.152107,,1,0.018401952,1.420408153
2017/1/4 10:00,10.68,10.77,10.462,10.77,2249.15544,,1,0.020328119,1.449282379
2017/1/4 11:00,10.76,10.79,10.492,10.63,7846.999584,,1,-0.030991519,1.404366917
2017/1/4 12:00,10.659,10.8,10.63,10.8,6101.881845,,1,0.03883615,1.458907121
2017/1/4 13:00,10.8,10.847,10.631,10.713,2346.463508,,1,-0.019131959,1.430995369
2017/1/4 14:00,10.712,10.756,10.3,10.518,12595.10413,,1,-0.043718397,1.368434546
2017/1/4 15:00,10.496,10.861,10.488,10.756,9866.089423,,1,0.055798275,1.444790833
2017/1/4 16:00,10.728,10.75,10.63,10.75,1225.452111,,1,-0.001332337,1.442865885
2017/1/4 17:00,10.748,10.875,10.62,10.759,5665.362637,,1,0.002001172,1.445753307
2017/1/4 18:00,10.749,10.859,10.68,10.8,7515.354517,,1,0.009098242,1.458907121
2017/1/4 19:00,10.8,10.86,10.77,10.794,5863.236032,,1,-0.001319445,1.456982173
2017/1/4 20:00,10.794,10.798,10.714,10.714,9032.163004,,1,-0.017615849,1.431316194
2017/1/4 21:00,10.746,10.879,10.659,10.7,15796.35344,,1,-0.003138053,1.426824648
2017/1/4 22:00,10.69,10.939,10.652,10.939,8833.398553,,1,0.053739688,1.503501759
2017/1/4 23:00,10.939,11.15,10.89,11.075,20985.02145,,1,0.029020361,1.547133923
2017/1/5 0:00,11.062,11.4,11.061,11.25,10789.87519,,1,0.036289249,1.603278251
2017/1/5 1:00,11.269,11.68,11.166,11.6,7951.844842,,1,0.070036911,1.715566908
2017/1/5 2:00,11.6,11.652,11.341,11.491,2155.813165,,1,-0.020383872,1.680597012
2017/1/5 3:00,11.467,11.567,11.404,11.43,1634.062049,,1,-0.011644855,1.661026703
